equipmentId,description,type,counter
PE12ACBD0001,Barn-door 4 sides Profoto,Profoto,0
PE13ACEC1001,Pro lamp extention cable 10m.,Profoto,0
PE15ACEC1002,Pro lamp extention cable 10m.,Profoto,0
PE12ACHG1001,Honeycomb Grid 10 for D1,Profoto,0
PE12ACHG0001-1234,Grid Kit 5 10 & 20 + bag Profoto,Profoto,0
PE14ACHG0002-1234,Grid Kit 5 10 & 20 + bag Profoto,Profoto,0
PE15ACHG0003-1234,Grid Kit 5 10 & 20 No bag,Profoto,0
PE15ACGH0001,Profoto Grid/filter Holder,Profoto,0
PE12ACHG2001,Honeycomb Grid 25 for softlight,Profoto,0
PE13ACMR0001,Magnum reflector,Profoto,0
PE12ACRA0001,Speedring Adapter Profoto,Profoto,0
PE12ACRA0003,Speedring Adapter Profoto,Profoto,0
PE12ACRA0004,Speedring Adapter Profoto,Profoto,0
PE12ACRA0005,Speedring Adapter Profoto,Profoto,0
PE12ACRA0006,Speedring Adapter,Profoto,0
PE12ACRA0007,RFi Speedring Adapter,Profoto,0
PE12ACRA0008,RFi Speedring Adapter,Profoto,0
PE15ACRA0009,RFi Speedring Adapter,Profoto,0
PE15ACRA0010,RFi Speedring Adapter,Profoto,0
PE15ACRA0011,RFi Speedring Adapter,Profoto,0
PE15ACRA0012,RFi Speedring Adapter,Profoto,0
PE15ACRA0013,RFi Speedring Adapter,Profoto,0
PE15ACRA0014,RFi Speedring Adapter,Profoto,0
PE15ACRA0015,RFi Speedring Adapter,Profoto,0
PE12ACSL0001,Softlight Reflector Silver 26 Profoto,Profoto,0
PE15ACSL1001,Softlight White (Beauty Dish) Profoto,Profoto,0
PE12ACSN0001,Snoot Profoto,Profoto,0
PE12LHMN1001-12,D1 Studio Kit หัวMono 500,Profoto,0
PE12LHMN1002-12,D1 Studio Kit หัวMono 500,Profoto,0
PE12LHMN1003-12,D1 Studio Kit หัวMono 500,Profoto,0
PE15LHMN1004-12,D1 Studio Kit หัวMono 500,Profoto,0
PE12LHMN2001-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE12LHMN2002-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE12LHMN2003-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE12LHMN2004-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE15LHMN2005-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE15LHMN2006-12,D1 Studio Kit หัวMono 1000,Profoto,0
PE12LHPH0001-1234,ProHead,Profoto,0
PE12LHPH0002-1234,ProHead,Profoto,0
PE12LHPH0003-1234,ProHead,Profoto,0
PE12LHPH0004-1234,ProHead,Profoto,0
PE13LHPH0005-1234,ProHead,Profoto,0
PE13LHPH0006-1234,ProHead,Profoto,0
PE15LHPH0007-1234,ProHead Plus UV,Profoto,0
PE15LHPH0008-1234,ProHead Plus UV,Profoto,0
PE15LHPH0009-1234,ProHead Plus UV,Profoto,0
PE15LHPH0010-1234,ProHead Plus UV,Profoto,0
PE15LHPH0011-1234,ProHead Plus UV,Profoto,0
PE15LHPH0012-1235,ProHead Plus UV,Profoto,0
PE15LHBH0001-123,Pro-B head (for mobile only),Profoto,0
PE15LHBH0002-123,Pro-B head (for mobile only),Profoto,0
PE15LHBH0003-123,Pro-B head (for mobile only),Profoto,0
PE15LHBH0004-123,Pro-B head (for mobile only),Profoto,0
PE15LHRF0001,Pro Ring2,Profoto,0
PE13MPPF2001,Pro-B3Air 1200 Mobile,Profoto,0
PE15MPPF2002,Pro-B3Air 1200 Mobile,Profoto,0
PE12PPPF2001,Pro-8a 2400 AirEUR,Profoto,0
PE12PPPF2002,Pro-8a 2400 AirEUR,Profoto,0
PE15PPPF2003,Pro-8a 2400 AirEUR (Shriro Demo),Profoto,0
PE15PPPF2004,Pro-8a 2400 AirEUR,Profoto,0
PE15PPPF2005,Pro-8a 2400 AirEUR,Profoto,0
PE15PPPF2006,Pro-8a 2400 AirEUR,Profoto,0
PE13OTMB0001,B3 battery,Profoto,0
PE13OTMB0002,B3 battery,Profoto,0
PE14OTMB0003,B3 battery,Profoto,0
PE15OTMB0004,B3 battery,Profoto,0
PE15OTMB0005,B3 battery,Profoto,0
PE13OTBC0001,B3 battery charger,Profoto,0
PE15OTBC0002,B3 battery charger,Profoto,0
PE13ACBD1001,Barn-door P-70 Broncolor,Broncolor,0
PE14ACEC2001,Bronc lamp extention cable 5m.,Broncolor,0
PE13ACHG1001-1234,Grid Kit P-70+bag Broncolor,Broncolor,0
PE13ACRA1001,Broncolor Adapter (Pulso),Broncolor,0
PE13ACRA1002,Broncolor Adapter (Pulso),Broncolor,0
PE13ACRA1003,Broncolor Adapter (Pulso),Broncolor,0
PE13ACRA1004,Broncolor Adapter (Pulso),Broncolor,0
PE13ACSL1001-13,Softlight P-Soft+Bag,Broncolor,0
PE13ACSL1001-2,Diffusor for P-Soft,Broncolor,0
PE13ACSN1001,Snoot Broncolor,Broncolor,0
PE13ACUR0001,Umbrella Reflector,Broncolor,0
PE13ACUR0002,Umbrella Reflector,Broncolor,0
PE13ACUR0003,Umbrella Reflector,Broncolor,0
PE13ACUR0004,Umbrella Reflector,Broncolor,0
PE13LHMC2001-12,Minicom160,Broncolor,0
PE13LHMC2002-12,Minicom160,Broncolor,0
PE13LHPG0001-123,Lamp Base Pulso G+reflector,Broncolor,0
PE13LHPG0002-123,Lamp Base Pulso G+reflector,Broncolor,0
PE13LHPG0003-123,Lamp Base Pulso G+reflector,Broncolor,0
PE13LHPG0004-123,Lamp Base Pulso G+reflector,Broncolor,0
PE13PPBC3001,Broncolor ScoroE 3200,Broncolor,0
PE13PPBC3002,Broncolor ScoroE 3200,Broncolor,0
PE12ACEP0001,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0002,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0003,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0004,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0005,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0006,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0007,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0008,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0009,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACEP0010,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0011,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0012,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0013,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0014,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0015,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0016,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0017,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0018,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE14ACEP0019,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0020,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0021,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0022,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0023,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0024,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0025,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0026,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0027,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE15ACEP0028,Extension power strip (ปลั๊กพ่วง),Accessories,0
PE12ACOT1001-123,Softbox Rimelight Octa 90 cm,Accessories,0
PE12ACOT2001-123,Softbox Profoto Octa 150 cm,Accessories,0
PE15ACOT2003-123,Softbox Profoto Octa 150 cm,Accessories,0
PE12ACSB0001-123,Softbox Profoto 40x60 cm/1.3x2,Accessories,0
PE12ACSB1001-123,Softbox Profoto 60x90 cm/2x3,Accessories,0
PE12ACSB2001-123,Softbox Rimelight Reg 90x120 cm,Accessories,0
PE12ACSB2002-123,Softbox Rimelight Reg 90x120 cm,Accessories,0
PE13ACSB2003-123,Softbox Rimelight Reg 90x120 cm,Accessories,0
PE13ACSB2004-123,Softbox Rimelight Reg 90x120 cm,Accessories,0
PE15ACSB2005-123,Softbox Rimelight Reg 90x120 cm,Accessories,0
PE13ACSB4001-123,Softbox Rimelight 140x200 cm,Accessories,0
PE12ACST0001-123,Softbox Profoto 30x120cm (strip),Accessories,0
PE12ACST0002-123,Softbox Profoto 30x120cm (strip),Accessories,0
PE13ACST0003-123,Softbox Profoto 30x120cm (strip),Accessories,0
PE13ACST0004-123,Softbox Profoto 30x120cm (strip),Accessories,0
PE15ACST1001-123,Softbox Profoto 30x180cm (strip),Accessories,0
PE15ACST1002-123,Softbox Profoto 30x180cm (strip),Accessories,0
PE15ACSG0001,Soft Grid 50 for Strip 1x4,Accessories,0
PE15ACSG0002,Soft Grid 50 for Strip 1x4,Accessories,0
PE12OTTU2001-12,Rimelite Translucent umbrella,Accessories,0
PE12OTTU2002-12,Rimelite Translucent umbrella,Accessories,0
PE12OTTU2003-12,Rimelite Translucent umbrella,Accessories,0
PE12OTTU2004-12,Rimelite Translucent umbrella,Accessories,0
PE14OTTU2005-12,Rimelite Translucent umbrella,Accessories,0
PE14OTTU2006-12,Rimelite Translucent umbrella,Accessories,0
PE14OTTU2007-12,Rimelite Translucent umbrella,Accessories,0
PE14OTTU2008-12,Rimelite Translucent umbrella,Accessories,0
PE14OTTU2009-1-2,Rimelite Translucent umbrella,Accessories,0
